symbol,date,set,setupId,type,readyTime,entryTime,entryPrice,stop,t1,t2,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality,readyScore
"APP","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 13:55@320.37|14:12","RECLAIM_CONTINUATION","14:22","14:23",320.76,320.28,321.56,322.77,"14:32","stop",0.5,-1.02,-1,9,"Good",6
"APP","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 15:31@320.16|15:41","RECLAIM_CONTINUATION","15:49","15:50",320.69,319.61,322.77,322.9,"15:56","stop",0.76,-1.04,-1,6,"Good",6
"AXP","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@329.63|15:22","RECLAIM_CONTINUATION","15:24","15:25",329.93,329.55,330.98,331.21,"15:59","close",1.47,-0.66,0.24,34,"Good",7
"AXP","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@330.44|11:53","RECLAIM_CONTINUATION","11:55","11:56",330.62,330.42,330.94,332.9,"11:56","stop",0,-1.15,-1,0,"Good",6
"AXP","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@330.44|14:31","RECLAIM_CONTINUATION","14:38","14:39",330.54,330.41,330.77,330.9,"14:42","stop",0.15,-1.23,-1,3,"Neutral",6
"BKNG","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@198.24|10:10","RECLAIM_CONTINUATION","10:15","10:16",198.66,197.87,200.62,200.49,"11:45","time",1.09,-0.67,-0.11,89,"Good",6
"BKNG","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@198.48|11:31","RECLAIM_CONTINUATION","11:41","11:42",198.74,198.38,199.22,199.26,"11:47","stop",0.17,-1.06,-1,5,"Good",8
"BKNG","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@193.32|10:57","RECLAIM_CONTINUATION","10:59","11:00",193.5,193.17,195.55,194.15,"12:29","time",3.58,-0.82,3.15,89,"Good",7
"BKNG","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@193.59|14:40","RECLAIM_CONTINUATION","14:43","14:44",193.72,193.5,193.96,194.16,"15:09","stop",0.23,-1.05,-1,25,"Good",6
"BKNG","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@193.59|14:52","RECLAIM_CONTINUATION","14:54","14:55",193.66,193.54,193.88,193.9,"15:06","stop",0.92,-1,-1,11,"Good",6
"BKNG","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 14:51@193.54|15:23","RECLAIM_CONTINUATION","15:27","15:28",193.66,193.44,194.16,194.18,"15:35","stop",0.05,-1.27,-1,7,"Good",6
"BMY","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 13:01@67.27|13:44","RECLAIM_CONTINUATION","13:50","13:51",67.33,67.26,67.71,67.46,"15:20","target1",5.27,-0.47,5,89,"Good",6
"BRK-B","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@507.36|15:06","RECLAIM_CONTINUATION","15:08","15:09",507.51,507.24,507.92,507.95,"15:29","stop",1.29,-1.22,-1,20,"Good",7
"BRK-B","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@507.38|15:34","RECLAIM_CONTINUATION","15:38","15:39",507.71,507.19,508.5,508.79,"15:59","close",1.17,-0.98,0.56,20,"Good",6
"BRK-B","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@507.39|15:48","RECLAIM_CONTINUATION","15:50","15:51",507.75,507.27,508.2,508.24,"15:55","stop",0.23,-1.14,-1,4,"Good",7
"BSX","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@47.37|10:01","RECLAIM_CONTINUATION","10:19","10:20",47.74,47.26,48.44,48.83,"11:49","time",0.25,-0.58,0.04,89,"Good",6
"C","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 10:00@132.46|09:56","RECLAIM_CONTINUATION","10:09","10:10",132.89,132.39,133.86,134.35,"10:18","target1",2.08,-0.11,1.94,8,"Good",6
"CAT","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 13:25@783.89|13:21","RECLAIM_CONTINUATION","13:33","13:34",785.03,783.62,787.58,788.41,"14:22","stop",0.19,-1.09,-1,48,"Good",7
"CAT","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@794.21|14:36","RECLAIM_CONTINUATION","14:39","14:40",794.6,793.92,795.56,795.84,"14:47","stop",0.69,-1.6,-1,7,"Good",6
"CME","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@280.91|11:05","RECLAIM_CONTINUATION","11:07","11:08",281.09,280.72,282.39,282.6,"11:10","stop",0,-1.16,-1,2,"Good",6
"CSCO","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@108.83|14:20","RECLAIM_CONTINUATION","14:48","14:49",108.89,108.76,109.04,109.06,"15:29","stop",0.68,-1.8,-1,40,"Good",6
"CVX","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@208.93|11:30","RECLAIM_CONTINUATION","11:34","11:35",209.09,208.84,209.35,209.38,"11:40","stop",0.2,-1,-1,5,"Good",7
"CVX","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@211.12|10:10","RECLAIM_CONTINUATION","10:12","10:13",211.25,210.87,212.72,212.03,"11:42","time",2.84,-0.79,2.74,89,"Good",7
"DE","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@685.37|14:05","RECLAIM_CONTINUATION","14:08","14:09",685.94,685.16,687.52,687.54,"14:15","stop",0.72,-1.81,-1,6,"Good",6
"DE","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@685.38|14:05","RECLAIM_CONTINUATION","14:11","14:12",686.04,685.19,687.52,687.54,"14:15","stop",0.54,-1.77,-1,3,"Good",6
"FISV","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@52.35|10:17","RECLAIM_CONTINUATION","10:20","10:21",52.47,52.32,52.9,52.79,"10:58","stop",2.07,-1.03,-1,37,"Good",7
"GE","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@331.66|13:16","RECLAIM_CONTINUATION","13:18","13:19",331.91,331.56,332.56,332.57,"13:48","stop",1.74,-1.1,-1,29,"Good",6
"GE","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@331.68|14:22","RECLAIM_CONTINUATION","14:45","14:46",332.06,331.64,332.64,332.75,"15:01","target1",1.55,-0.55,1.38,15,"Good",6
"GILD","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@150.56|13:33","RECLAIM_CONTINUATION","13:45","13:46",150.75,150.47,151.19,151.45,"14:58","stop",0.42,-1.1,-1,72,"Good",6
"HD","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@320.69|10:50","RECLAIM_CONTINUATION","10:53","10:54",321.04,320.49,321.72,322.17,"11:09","stop",0.95,-1.08,-1,15,"Neutral",6
"ICE","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@158.65|11:59","RECLAIM_CONTINUATION","12:08","12:09",158.9,158.52,159.59,159.64,"12:12","stop",0,-1.24,-1,3,"Good",7
"ICE","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@161.36|11:28","RECLAIM_CONTINUATION","11:31","11:32",161.56,161.29,162.04,162.17,"11:40","stop",0.59,-1,-1,8,"Good",6
"ICE","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@161.37|11:40","RECLAIM_CONTINUATION","11:42","11:43",161.58,161.26,162.04,162.17,"11:57","target1",1.45,-0.06,1.45,14,"Good",6
"JNJ","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 11:31@276.28|11:41","RECLAIM_CONTINUATION","12:00","12:01",276.55,276.21,277.65,277.8,"12:50","stop",0.6,-1.32,-1,49,"Good",6
"JPM","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@358.89|09:42","RECLAIM_CONTINUATION","09:55","09:56",360.67,358.36,365.29,367.59,"10:02","stop",0.08,-1.09,-1,6,"Good",6
"KO","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@87.97|10:24","RECLAIM_CONTINUATION","10:26","10:27",88.03,87.92,88.18,88.35,"10:33","stop",0.18,-1.27,-1,6,"Neutral",6
"LLY","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@1146.01|12:16","RECLAIM_CONTINUATION","12:18","12:19",1146.87,1145.6,1151,1158.44,"12:24","stop",0.23,-1.28,-1,5,"Good",7
"LOW","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@201.26|12:26","RECLAIM_CONTINUATION","12:35","12:36",201.4,201.21,201.58,201.6,"12:45","target1",1.32,-0.16,0.95,9,"Good",6
"LOW","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 13:59@202.34|14:06","RECLAIM_CONTINUATION","14:28","14:29",202.57,202.09,203.37,203.67,"15:55","stop",1.44,-1.4,-1,86,"Neutral",6
"LOW","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@201.82|11:03","RECLAIM_CONTINUATION","11:08","11:09",201.91,201.74,202.22,202.26,"11:18","target1",2.12,-0.29,1.82,9,"Good",6
"LOW","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@201.89|11:28","RECLAIM_CONTINUATION","11:33","11:34",202.08,201.85,202.54,202.6,"12:11","target1",2.22,-0.43,2,37,"Good",6
"LRCX","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@304.63|15:34","RECLAIM_CONTINUATION","15:50","15:51",306.11,304.41,309.95,310.3,"15:59","close",1.17,-0.27,0.9,8,"Neutral",8
"MA","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@588.04|13:15","RECLAIM_CONTINUATION","13:17","13:18",588.64,587.77,589.46,589.51,"13:30","stop",0.05,-1.17,-1,12,"Good",6
"MA","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@588.04|13:43","RECLAIM_CONTINUATION","13:45","13:46",588.21,587.82,588.8,588.82,"13:56","target1",1.62,-0.72,1.51,10,"Good",6
"MCD","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@261.99|10:16","RECLAIM_CONTINUATION","10:18","10:19",262.21,261.78,263.42,263.29,"10:27","target1",3.26,-0.4,2.81,8,"Good",7
"MCD","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@256.67|12:50","RECLAIM_CONTINUATION","12:52","12:53",256.77,256.65,256.87,256.93,"12:54","target1",0.76,-0.12,0.76,1,"Neutral",6
"MDLZ","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 11:49@62.37|12:01","RECLAIM_CONTINUATION","12:10","12:11",62.45,62.33,62.62,62.64,"12:40","stop",0.87,-1.09,-1,29,"Good",6
"MDT","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 12:35@92.5|12:45","RECLAIM_CONTINUATION","13:00","13:01",92.57,92.49,93.72,92.78,"14:30","stop",3.5,-1,-1,89,"Good",6
"MRK","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@149.55|15:11","RECLAIM_CONTINUATION","15:13","15:14",149.93,149.5,151.27,151.68,"15:55","stop",0.34,-1.12,-1,41,"Neutral",6
"MRVL","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 11:43@208.49|11:58","RECLAIM_CONTINUATION","12:00","12:01",208.87,208.22,209.96,210.5,"12:14","target1",1.78,-0.09,1.68,13,"Good",6
"MS","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@215.72|10:17","RECLAIM_CONTINUATION","10:19","10:20",215.94,215.28,216.75,217.6,"10:31","stop",0.35,-1.11,-1,11,"Good",6
"MS","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@216.32|14:33","RECLAIM_CONTINUATION","14:42","14:43",216.44,216.3,216.61,216.65,"14:53","stop",0.55,-1.15,-1,10,"Good",8
"NEE","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 13:43@82.52|14:07","RECLAIM_CONTINUATION","14:15","14:16",82.72,82.49,83.11,83.21,"14:28","stop",0.62,-1.04,-1,12,"Good",8
"NOW","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@145.33|10:38","RECLAIM_CONTINUATION","10:41","10:42",145.56,145.15,146.96,146.58,"10:50","stop",0.75,-1.49,-1,8,"Good",7
"NOW","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@145.34|10:38","RECLAIM_CONTINUATION","10:46","10:47",145.81,145.15,146.96,147.21,"10:50","stop",0.08,-1.3,-1,3,"Neutral",6
"NOW","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 14:18@141.88|14:42","RECLAIM_CONTINUATION","14:45","14:46",141.99,141.8,145.26,142.48,"15:11","stop",0.79,-1,-1,25,"Neutral",7
"PG","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 15:08@147.3|15:24","RECLAIM_CONTINUATION","15:27","15:28",147.34,147.28,147.46,147.47,"15:28","stop",0,-1.42,-1,0,"Good",7
"PGR","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@223.84|11:24","RECLAIM_CONTINUATION","11:27","11:28",223.99,223.85,224.38,224.52,"11:47","target1",3.21,-0.57,2.79,19,"Good",6
"PGR","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@223.98|15:35","RECLAIM_CONTINUATION","15:39","15:40",224.28,223.91,224.67,224.81,"15:57","stop",0.77,-1.04,-1,17,"Good",6
"PLD","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 13:58@137.71|14:28","RECLAIM_CONTINUATION","14:35","14:36",137.78,137.68,137.91,137.93,"14:36","target1",1.43,0,1.19,0,"Good",7
"PLD","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@138.1|12:27","RECLAIM_CONTINUATION","12:29","12:30",138.13,138.06,138.24,138.27,"12:39","stop",1,-1.29,-1,9,"Good",6
"PM","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@190.64|11:02","RECLAIM_CONTINUATION","11:07","11:08",191.13,190.55,192.37,192.44,"11:17","stop",0.16,-1.02,-1,9,"Good",6
"RBLX","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@39.97|10:27","RECLAIM_CONTINUATION","10:30","10:31",40.15,39.82,40.9,40.88,"11:38","target1",2.32,-0.02,2.32,67,"Neutral",6
"SCHW","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@109.08|09:58","RECLAIM_CONTINUATION","10:01","10:02",109.2,108.94,109.72,109.86,"10:22","target1",2,-0.38,2,20,"Good",7
"SCHW","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@109.06|10:48","RECLAIM_CONTINUATION","10:51","10:52",109.17,108.99,109.49,109.61,"11:17","stop",1.28,-1.04,-1,25,"Good",7
"T","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 13:11@26.17|13:33","RECLAIM_CONTINUATION","13:47","13:48",26.2,26.17,26.25,26.25,"14:33","stop",1,-1,-1,45,"Neutral",6
"TJX","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@132.08|12:58","RECLAIM_CONTINUATION","13:09","13:10",132.23,132.05,132.55,132.57,"13:21","stop",0.06,-1.17,-1,11,"Good",6
"TMUS","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@182.02|14:52","RECLAIM_CONTINUATION","14:55","14:56",182.44,181.95,182.97,182.99,"15:59","close",0.88,-0.94,-0.69,63,"Good",6
"TMUS","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@188.71|15:32","RECLAIM_CONTINUATION","15:34","15:35",188.87,188.71,189.04,189.05,"15:41","stop",0.69,-1.5,-1,6,"Good",6
"TXN","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@255.24|15:01","RECLAIM_CONTINUATION","15:05","15:06",255.38,255.14,255.81,255.98,"15:10","stop",0.42,-1.48,-1,4,"Good",7
"TXN","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 14:57@252.55|15:13","RECLAIM_CONTINUATION","15:40","15:41",252.86,252.51,253.44,253.54,"15:51","target1",1.74,-0.31,1.66,10,"Good",6
"TXN","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@258.82|11:10","RECLAIM_CONTINUATION","11:12","11:13",259.51,258.63,261.02,261.67,"11:23","stop",0.37,-1.35,-1,10,"Good",6
"VRTX","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@556.98|15:33","RECLAIM_CONTINUATION","15:36","15:37",557.35,556.98,557.8,558.27,"15:48","target1",1.73,-0.92,1.22,11,"Good",7
"VZ","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@50.49|10:34","RECLAIM_CONTINUATION","10:37","10:38",50.58,50.45,50.66,50.72,"10:51","target1",0.77,-0.12,0.62,13,"Neutral",6
"VZ","2026-09-03","BLIND","RECLAIM_CONTINUATION|VWAP@50.37|12:12","RECLAIM_CONTINUATION","12:21","12:22",50.43,50.36,50.76,50.54,"12:52","target1",4.93,-0.43,4.71,30,"Good",6
"WMT","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@105.97|15:04","RECLAIM_CONTINUATION","15:09","15:10",106.13,105.93,106.38,106.42,"15:15","stop",0.2,-1.4,-1,5,"Good",7
"WMT","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 13:24@108.94|13:55","RECLAIM_CONTINUATION","14:00","14:01",109.03,108.84,109.32,109.35,"14:05","stop",0.05,-1.26,-1,4,"Good",6
"XOM","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@163.15|12:32","RECLAIM_CONTINUATION","12:34","12:35",163.26,163.14,163.46,163.55,"12:40","stop",0.33,-1.75,-1,5,"Good",7
"XOM","2026-09-04","BLIND","RECLAIM_CONTINUATION|VWAP@160.31|12:40","RECLAIM_CONTINUATION","13:00","13:01",160.54,160.19,161.41,161.48,"13:15","stop",0.09,-1.03,-1,14,"Good",6
