symbol,date,source_rows,rth_bars,duplicates,missing_minutes,missing_list,malformed,ohlc_violations,zero_volume_rth,out_of_session,rows_1600,first,last,status
"BKNG","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BKNG","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BLK","2026-08-28",374,374,0,16,"09:52 09:54 10:15 10:19 10:28",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"BLK","2026-08-31",390,390,0,0,"",0,0,61,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-01",390,390,0,0,"",0,0,30,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-02",390,390,0,0,"",0,0,12,0,0,"09:30","15:59","COMPLETE"
"BLK","2026-09-03",391,390,0,0,"",0,0,56,0,1,"09:30","16:00","COMPLETE"
"BLK","2026-09-04",392,390,1,0,"",0,0,85,0,1,"09:30","16:00","COMPLETE"
"BMY","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BMY","2026-09-03",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"BMY","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-08-27",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-09-01",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-02",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BX","2026-08-28",385,385,0,5,"10:51 12:34 12:48 13:49 14:22",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"BX","2026-08-31",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-02",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BX","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"C","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"C","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CAT","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CAT","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CB","2026-08-28",387,387,0,3,"10:35 11:02 14:22",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"CB","2026-08-31",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"CB","2026-09-01",390,390,0,0,"",0,0,4,0,0,"09:30","15:59","COMPLETE"
"CB","2026-09-02",390,390,0,0,"",0,0,10,0,0,"09:30","15:59","COMPLETE"
"CB","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CB","2026-09-04",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"CME","2026-08-28",387,387,0,3,"13:12 13:18 14:39",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"CME","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"CME","2026-09-01",390,390,0,0,"",0,0,4,0,0,"09:30","15:59","COMPLETE"
"CME","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CME","2026-09-03",391,390,0,0,"",0,0,11,0,1,"09:30","16:00","COMPLETE"
"CME","2026-09-04",391,390,0,0,"",0,0,6,0,1,"09:30","16:00","COMPLETE"
"COIN","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COIN","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COIN","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COIN","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"COIN","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"COP","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"COP","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"COST","2026-08-28",383,383,0,7,"10:40 12:38 12:42 13:11 13:23",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"COST","2026-08-31",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"COST","2026-09-01",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"COST","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COST","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"COST","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CRDO","2026-08-31",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"CRDO","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"CRDO","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRDO","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"CRDO","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CRM","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRM","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRM","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRM","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRM","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CRM","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CRWD","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CRWD","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CSCO","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CSCO","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CVX","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CVX","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DDOG","2026-08-31",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"DDOG","2026-09-01",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"DDOG","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DDOG","2026-09-03",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"DDOG","2026-09-04",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"DE","2026-08-28",367,367,0,23,"09:38 09:41 09:44 09:55 10:08",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"DE","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"DE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DE","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DE","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DE","2026-09-04",391,390,0,0,"",0,0,6,0,1,"09:30","16:00","COMPLETE"
"DELL","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"DIS","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DIS","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"DUK","2026-08-28",388,388,0,2,"09:47 14:30",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"DUK","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DUK","2026-09-01",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"DUK","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DUK","2026-09-03",391,390,0,0,"",0,0,4,0,1,"09:30","16:00","COMPLETE"
"DUK","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"ELV","2026-08-28",358,358,0,32,"09:52 10:04 10:19 10:22 10:27",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"ELV","2026-08-31",390,390,0,0,"",0,0,13,0,0,"09:30","15:59","COMPLETE"
"ELV","2026-09-01",390,390,0,0,"",0,0,12,0,0,"09:30","15:59","COMPLETE"
"ELV","2026-09-02",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"ELV","2026-09-03",391,390,0,0,"",0,0,13,0,1,"09:30","16:00","COMPLETE"
"ELV","2026-09-04",391,390,0,0,"",0,0,5,0,1,"09:30","16:00","COMPLETE"
"ETN","2026-08-28",387,387,0,3,"13:03 13:34 14:36",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"ETN","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ETN","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ETN","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ETN","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"ETN","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"FISV","2026-08-31",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-03",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"GE","2026-08-28",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"GE","2026-08-31",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"GE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"GE","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"GE","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"GE","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"GILD","2026-08-28",386,386,0,4,"11:01 12:34 13:43 13:47",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"GILD","2026-08-31",390,390,0,0,"",0,0,4,0,0,"09:30","15:59","COMPLETE"
"GILD","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"GILD","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"GILD","2026-09-03",391,390,0,0,"",0,0,11,0,1,"09:30","16:00","COMPLETE"
"GILD","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"GS","2026-08-28",388,388,0,2,"14:58 14:59",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
"GS","2026-08-31",390,390,0,0,"",0,0,13,0,0,"09:30","15:59","COMPLETE"
"GS","2026-09-01",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"GS","2026-09-02",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"GS","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"GS","2026-09-04",391,390,0,0,"",0,0,6,0,1,"09:30","16:00","COMPLETE"
"HD","2026-08-28",388,388,0,2,"12:49 13:51",0,0,0,0,0,"09:30","15:59","INCOMPLETE"
