symbol,date,status,reason,unique,expected,coverage,missing,first,last,missingSample
"TSLA","2026-08-26","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-08-27","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"TSLA","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-08","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-09","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-10","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-11","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-14","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-15","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-16","FULL","",390,390,100,0,"09:30","15:59",""
"XOM","2026-09-17","INVALID","only 46 bars",46,390,11.79,344,"09:30","10:15","10:16 10:17 10:18 10:19 10:20 10:21 10:22 10:23 10:24 10:25"
