symbol,date,status,reason,expected,unique,coverage,missing,dupes,first,last,missingList,dupeList
"CRDO","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRDO","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRM","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CRWD","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CSCO","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"CVX","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DDOG","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DE","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DE","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DE","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DE","2026-09-11","PARTIAL","2 duplicate timestamps",390,390,100,0,2,"09:30","15:59","","13:22 15:04"
"DE","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DE","2026-09-15","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","09:34"
"DELL","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DELL","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DIS","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"DUK","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ELV","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ELV","2026-09-09","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","10:37"
"ELV","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ELV","2026-09-11","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","13:56"
"ELV","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ELV","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ETN","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"FISV","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GE","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GILD","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GOOGL","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"GS","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HD","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HON","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HON","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HON","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"HON","2026-09-11","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","12:55"
"HON","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
